Name;Steeping time;Temperture;Leaf ratio (gram);Time to drink;Story (Legend or background)
Longjing;20s → 30s → 40s → +10s;80°C;5 g / 100 ml;Morning / Afternoon;Imperial tribute tea from Hangzhou, legend says the Qianlong Emperor named eighteen bushes at Lion Peak after visiting disguised as a commoner.
Bi Luo Chun;15s → 20s → 30s → +10s;80°C;5 g / 100 ml;Morning;Named for its curled snail-like leaves, traditionally planted among fruit trees in Dongting Lake region so blossoms scent the tea.
Huangshan Maofeng;20s → 25s → 35s → +10s;85°C;5 g / 100 ml;Morning / Afternoon;Picked on misty Huangshan peaks in Anhui, 'mao feng' means furry peak, describing tender downy buds.
Lu'an Guapian;25s → 35s → 45s → +15s;85°C;6 g / 100 ml;Afternoon;Unique melon-seed shaped leaves without buds or stems, listed among China's top ten famous teas since the Qing dynasty.
Xinyang Maojian;20s → 25s → 35s → +10s;80°C;5 g / 100 ml;Morning;One of China's oldest named green teas from Henan, praised in Tang poetry for its sharp aroma and clean finish.
Enshi Yulu;15s → 20s → 30s → +10s;75°C;5 g / 100 ml;Morning;Rare Chinese steamed green tea from Hubei, influenced by Japanese sencha methods while keeping native cultivars.
Mengding Ganlu;20s → 25s → 35s → +10s;80°C;5 g / 100 ml;Morning;From sacred Mengding Mountain in Sichuan where Buddhist monk Wu Lizhen is said to have planted tea for the Han dynasty court.
Taiping Houkui;30s → 40s → 50s → +15s;85°C;6 g / 100 ml;Morning / Afternoon;Extra-long flat leaves from two leaves and one bud, won gold at the 1915 Panama-Pacific Exposition and remains a gift tea icon.
Anji Baicha;15s → 20s → 30s → +10s;80°C;5 g / 100 ml;Morning;High-amino acid cultivar discovered in the 1980s in Zhejiang, pale leaves and fresh umami made it a modern celebrity green.
Gunpowder;15s → 20s → 30s → +10s;85°C;5 g / 100 ml;Morning / Afternoon;Rolled pellet tea from Zhejiang exported worldwide since the Ming era, name comes from its resemblance to black powder grains.
Chunmee;15s → 20s → 25s → +5s;85°C;5 g / 100 ml;Afternoon;Curved eyebrow-shaped leaves from Anhui and Jiangxi, backbone of everyday Chinese green tea exports for centuries.
Bai Hao Yin Zhen;25s → 35s → 50s → +15s;85°C;5 g / 100 ml;Morning / Afternoon;Only bud tea from Fuding and Zhenghe, Empress Dowager Cixi favored delicate white teas from Fujian workshops.
Bai Mu Dan;20s → 30s → 45s → +15s;90°C;5 g / 100 ml;Afternoon;One bud with two leaves, peony-like open leaves when wet. Represents the middle grade of Fujian white tea tradition.
Shou Mei;20s → 25s → 35s → +10s;90°C;5 g / 100 ml;Afternoon;Mature leaves and stems give a fuller, honeyed cup, originally the everyday white tea of local farmers.
Gong Mei;20s → 25s → 35s → +10s;90°C;5 g / 100 ml;Afternoon;Historically a tribute grade between Peony and Shou Mei, today often grouped with Shou Mei in export markets.
Ya Bao;15s → 20s → 30s → +10s;95°C;5 g / 100 ml;Evening;Not true tea but wild Camellia buds from Yunnan forests, sweet resinous notes prized by pu-erh enthusiasts.
Junshan Yinzhen;20s → 30s → 40s → +10s;85°C;5 g / 100 ml;Morning / Afternoon;From Dongting Lake island, rare yellow tea with bud-only picking. Said to have been reserved for Mao Zedong as a state gift.
Mengding Huangya;20s → 30s → 40s → +10s;85°C;5 g / 100 ml;Morning / Afternoon;Sichuan yellow tea with sealed-yellowing process, linked to the same Mengding Mountain origin myths as Mengding Ganlu.
Huoshan Huangya;20s → 30s → 40s → +10s;85°C;5 g / 100 ml;Morning / Afternoon;Anhui yellow tea revived in the 20th century, Tang records mention yellow teas from Huoshan as imperial offerings.
Tie Guan Yin;Rinse 5s, then 10s → 15s → 20s → +5s;95°C;7 g / 100 ml;Afternoon;Anxi oolong named after Guanyin, legend tells of a poor farmer who restored a temple and received this tea plant in a dream.
Da Hong Pao;Rinse 5s, then 10s → 15s → 20s → +5s;95°C;8 g / 100 ml;Afternoon / Evening;Legend says red robes were draped on Wuyi bushes to cure an imperial student's illness, mother trees still famous on Jiulongke cliff.
Wuyi Rougui;Rinse 5s, then 10s → 15s → 20s → +5s;95°C;8 g / 100 ml;Afternoon / Evening;Rock tea cultivar with spicy cinnamon aroma from mineral-rich Wuyi cliffs, one of the Four Famous Bushes of Wuyi.
Wuyi Shui Xian;Rinse 5s, then 10s → 15s → 25s → +5s;95°C;8 g / 100 ml;Afternoon / Evening;Old bush Shui Xian from Wuyi carries deep floral-narcissus notes, name may refer to Narcissus oolong or a local spring spirit tale.
Wuyi Qi Lan;Rinse 5s, then 10s → 15s → 20s → +5s;95°C;8 g / 100 ml;Afternoon / Evening;Cultivar prized for orchid fragrance among rock teas, developed through selective breeding of Wuyi native varieties.
Wuyi Ba Xian;Rinse 5s, then 10s → 15s → 20s → +5s;95°C;8 g / 100 ml;Afternoon / Evening;Named after the Eight Taoist Immortals, each cultivar line in Wuyi carries a story tying tea to local folklore.
Fenghuang Dan Cong – Mi Lan Xiang;Rinse 5s, then 10s → 15s → 20s → +5s;95°C;7 g / 100 ml;Afternoon;Phoenix Mountain oolong with honey-orchid aroma, Dan Cong means single bush, each tree cloned for a unique scent profile.
Fenghuang Dan Cong – Ya Shi Xiang;Rinse 5s, then 10s → 15s → 20s → +5s;95°C;7 g / 100 ml;Afternoon;Intentionally vulgar name to hide prized bushes from theft, actually a bright floral oolong with no duck involved.
